PDF Name,Matched DB Code,Match Confidence,Original Price,New EGP,New EUR,Discount %
1,Ca-1,0.93,8.0,8.8,0.21,0
F 4 16 GB white light Shiny Logo,NB06-NB06,0.39,6.24,6.86,0.17,0
F 6 D.grey shinny gun shiny logo 16 GB,Kc-103,0.35,7.3,8.03,0.19,0
F 6 Black shinny gun shiny logo16 GB,Kc 105,0.37,0.0,0.0,0.0,0
F 6 L.grey shinny gun shiny logo 16 GB,Kc-103,0.35,0.0,0.0,0.0,0
F 7 16 GB WHITE LIGHT shiny logo,NB06-NB06,0.39,6.24,6.86,0.17,0
F 8 Silver shiny logo 32gb,LC-120-I,0.34,7.3,8.03,0.19,0
F 9 blue gun shinny 16GB,Float-Be,0.33,6.35,6.99,0.17,0
F 9 blue gold 16GB,Mg-8,0.4,0.0,0.0,0.0,0
f 9 D.Grey gun shinny 16G,Bamboo -,0.35,0.0,0.0,0.0,0
F 9 blue black mutt 16GB,Mg-8,0.39,7.3,8.03,0.19,0
F 9 White Silver New 16GB,Mg-8,0.39,6.35,6.99,0.17,0
F 10 Black 16GB,LC-120-I,0.43,5.97,6.57,0.16,0
F 11 Gun Mutt 16GB,Ch-10-12-Gun,0.32,5.97,6.57,0.16,0
F 11 Gun Shinny 16GB,Ca-1,0.36,0.0,0.0,0.0,0
F 11 Silver Matt 16GB,LC-120-I,0.38,8.0,8.8,0.21,0
F 14 black mutt 16 G.B,168,0.36,5.71,6.28,0.15,0
F 14 gun shinny 16 G.B,Bamboo -,0.33,5.0,5.5,0.13,0
F 14 silver mutt 16 G.B,168,0.39,5.0,5.5,0.13,0
F 21 black mutt shiny logo 16 G.B,PP01-PLASTIC,0.37,7.0,7.7,0.19,0
F 21 Shinny Gun shiny logo 16 G.B,321,0.38,7.3,8.03,0.19,0
F 22 black mutt shiny logo 16 G.B,PP02-PLASTIC,0.37,7.3,8.03,0.19,0
F 22 shinny gun shiny logo 16 G.B,EC-226,0.39,3.0,3.3,0.08,0
F 23 black mutt logo 16 GB,NB-28-6-Black,0.36,7.3,8.03,0.19,0
F 25 black mutt shiny logo 32GB,MP01,0.35,7.3,8.03,0.19,0
F 25 gun mutt 32GB,Sp-m-23-Light up,0.35,0.0,0.0,0.0,0
F 26 black mutt shiny logo 32GB,Mg-600,0.37,7.3,8.03,0.19,0
F 26 shinny gun shiny logo 32GB,Kc-252,0.36,5.0,5.5,0.13,0
F 28 black mutt 32 GB,Mg-600,0.37,7.3,8.03,0.19,0
F 28 gun shinny 32 GB,Bamboo -,0.34,0.0,0.0,0.0,0
F 29 black mutt shiny logo 32GB,MP01,0.35,7.04,7.74,0.19,0
F 30 black mutt shiny logo 32GB,Mg-600,0.37,7.04,7.74,0.19,0
F 31 gun shinny 16GB,Ca-1,0.36,4.65,5.12,0.12,0
F 31 silver mutt 16GB,351,0.37,5.0,5.5,0.13,0
F 33 BLACK MUTT 16 G.B,3003,0.33,4.65,5.12,0.12,0
F 33 GUN SHINNY 16 G.B,13-3,0.34,0.0,0.0,0.0,0
f 36 black shiny logo 16 GB,EC-226,0.35,7.3,8.03,0.19,0
f 36 white shiny logo 16 GB,Mg-600,0.34,0.0,0.0,0.0,0
F 44 black mutt shiny logo 16GB,Sm-144,0.36,7.3,8.03,0.19,0
flash card metal gold 16G,Metal,0.56,4.38,4.82,0.12,0
flash card metal silver 16G,Metal,0.57,0.0,0.0,0.0,0
Power bank 8 black ( 9000 mAh / lightning logo ),Power bank,0.81,19.78,21.76,0.53,0
Power bank 9 black ( 3000 mAh / mirror logo / wireless ),Power bank,0.75,18.32,20.15,0.49,0
Power bank 12 black ( 10000 mAh / lightning / Wireless / Stand ),Power bank,0.83,1265.0,1391.5,33.59,0
Power bank 13 black ( 10000 mAh ),Power bank,0.83,15.53,17.08,0.41,0
Power bank 14 black ( 10000 mAh ),Power bank,0.83,22.43,24.67,0.6,0
Power bank 18 Black ( 10000 mAh / lightning logo ),Power bank,0.81,15.8,17.38,0.42,0
Power bank 18 Blue ( 10000 mAh / lightning logo ),Power bank,0.81,15.8,17.38,0.42,0
Power bank 20 black ( 10000 mAh / light led ),Power bank,0.82,13.14,14.45,0.35,0
Power bank 22 Black ( 10000 mAh / Wireless lighting Logo ),Power bank,0.82,19.25,21.18,0.51,0
Power bank 22 Blue ( 10000 mAh/Wireless lighting Logo ),Power bank,0.84,2.0,2.2,0.05,0
Power bank 22 D Grey ( 10000 mAh / Wireless / lighting Logo ),Power bank,0.8,0.0,0.0,0.0,0
Power bank 26 black ( 10000 mAh / wireless charging Phone - watch - Airpod ),Power bank,0.83,1155.0,1270.5,30.67,0
Power bank 30 ( 5000 mAh / wireless charger / Very strong Massager ) White,Power bank,0.84,18.05,19.86,0.48,0
Power bank 34 Black ( 10000 mAh / wireless charger / lightning logo / mega safe ),Power bank,0.83,23.23,25.55,0.62,0
Power bank 35 White ( 10000 mAh / mobile stand ),Power bank,0.81,10.49,11.54,0.28,0
Power bank 37 Black ( 20000 mAh / torch / built in cable ),Power bank,0.84,17.92,19.71,0.48,0
Power bank 44 Black ( Wireless stand / lightning lamp ),Power bank,0.89,1595.0,1754.5,42.35,0
Power bank 49 black ( 10000 mAh,Power bank,0.83,1265.0,1391.5,33.59,0
Lamp USB 4 Black,LC-120-B-Dual,0.34,7.83,8.61,0.21,0
Lamp USB 4 White,Lens,0.33,6.0,6.6,0.16,0
Lamp USB 5 ( MULTI FUNCTION - WIRELESS CHARGER - DIGITAL CLOCK ) Black,Lock,0.36,1265.0,1391.5,33.59,0
Lamp USB 8 Black ( Lamp / Clock / bluetooth Speaker / wireless charging ),Lock,0.42,1375.0,1512.5,36.51,0
Lamp USB 8 White ( Lamp / Clock / bluetooth Speaker / wireless charging ),Lock,0.42,6.0,6.6,0.16,0
Lamp USB 9 black ( Lamp / pen holder / wireless charging ),Pen Holder,0.7,12.88,14.17,0.34,0
mobile holder 2 grey * blue,Mg-8,0.42,1.46,1.61,0.04,0
mobile holder 2 white * blue,Mg-8,0.41,4.0,4.4,0.11,0
mobile holder 3 Black,Mg-8,0.42,1.73,1.9,0.05,0
Cable 2 Eco Material,EC-,0.55,3.98,4.38,0.11,0
Cable 3 ( 4 in 1 cable / android - iphone - type C - Apple watch charger ) Black,PB01,0.46,5.71,6.28,0.15,0
Cable 5 Grey Gun,Lc5-dual,0.38,5.71,6.28,0.15,0
Cable 6 ( wireless 15W / lightening logo / fast charging for micro - iphone - Type C ),P1009L-Blue led,0.37,7.3,8.03,0.19,0
CABLE 7 BLACK,cable-7-Holder,0.9,1.73,1.9,0.05,0
Cable 9 ( 2*1 ),Lc5-dual,0.37,1.99,2.19,0.05,0
Cable 13 new Black,Lc5-dual,0.4,3.85,4.24,0.1,0
Cable 14 Black Long mutt,Box-Cable,0.42,3.85,4.24,0.1,0
Cable 14 short black shinny,Box-Cable,0.37,2.52,2.77,0.07,0
Cable 15 ( 3 in 1 cable / lightening logo ) Black,LC-120-I,0.43,5.18,5.7,0.14,0
Cable 17 Black silver,Box-Cable,0.48,3.32,3.65,0.09,0
Cable 22 black ( 4 in 1 ),Box-Cable,0.41,1.57,1.73,0.04,0
Cable 23 black ( 4 in 1 ) ( Cigarette lighter / Torch ),Box-Cable,0.44,5.18,5.7,0.14,0
Cable 24 black ( 4 in 1 ),Box-Cable,0.41,1.57,1.73,0.04,0
Cable 25 black gun ( key chain ),Kc-252,0.46,4.91,5.4,0.13,0
Connector 7 ( With Cable 3 and POUCH ) Black,EC-,0.52,21.11,23.22,0.56,0
Connector 8 With POUCH White,EC-,0.58,14.6,16.06,0.39,0
Car charger 1,CC5,0.4,2.39,2.63,0.06,0
Car charger 2,CC5,0.4,2.39,2.63,0.06,0
Car charger 3,CC5,0.4,3.98,4.38,0.11,0
Car charger 4 ( wireless charging Iphone - watch - airpod / lightning logo ),CC5,0.44,14.87,16.36,0.39,0
Car charger 5 ( built in cables ),Ca-1,0.4,9.03,9.93,0.24,0
Speaker 1,Sm-728,0.27,0.0,0.0,0.0,0
Speaker 2 black,Sp-m-23-Light up,0.39,1815.0,1996.5,48.19,0
Speaker 2 beige,Sp-m-23-Light up,0.45,1815.0,1996.5,48.19,0
Speaker 3 black ( lightning logo ),Sp-m-23-Light up,0.48,472.0,519.2,12.53,0
Speaker 6 Blue,Sp-m-23-Light up,0.4,12.0,13.2,0.32,0
Speaker 6 White,Sp-m-23-Light up,0.39,0.0,0.0,0.0,0
Speaker 7 Orange,GS01,0.34,330.0,363.0,8.76,0
Speaker 7 blue,Sp-m-23-Light up,0.4,0.0,0.0,0.0,0
Speaker 7 green,MP01-METAL,0.33,0.0,0.0,0.0,0
Speaker 9 Black,Sp-m-23-Light up,0.32,811.0,892.1,21.53,0
Speaker 9 Blue,Sp-m-23-Light up,0.4,0.0,0.0,0.0,0
Speaker 9 Red,Sp-m-23,0.33,0.0,0.0,0.0,0
Speaker 10 Black,LC-120-I,0.33,54.0,59.4,1.43,0
Speaker 11 black,Sp-m-23-Light up,0.31,648.0,712.8,17.2,0
Speaker 11 blue,Sp-m-23-Light up,0.39,0.0,0.0,0.0,0
Speaker 11 orange,GS01,0.33,0.0,0.0,0.0,0
Speaker 12 grey new,Sp-m-23-Light up,0.4,13.0,14.3,0.35,0
Speaker 13 black,Sp-m-23-Light up,0.38,949.0,1043.9,25.2,0
Speaker 22 Silver,Sp-m-23-Light up,0.36,41.0,45.1,1.09,0
Speaker 30 Black Set,Sp-m-23-Light up,0.39,16.0,17.6,0.42,0
Headphone 1 black,Ch-2022,0.31,500.0,550.0,13.27,0
Headphone 2 black,Ch-2022,0.31,500.0,550.0,13.27,0
Airbods 1 black,LC-120-I,0.3,200.0,220.0,5.31,0
Airbods 2 black,Sp-m-23-Light up,0.32,200.0,220.0,5.31,0
Smart Watch 1,SM-2,0.36,66.0,72.6,1.75,0
mouse 1 Dark blue,Mg-8,0.33,3.85,4.24,0.1,0
Mouse 1 white,SM-2,0.36,2.0,2.2,0.05,0
mouse 8 black gun,13-8,0.33,4.91,5.4,0.13,0
mouse 8 Blue,13-8,0.4,1.0,1.1,0.03,0
mouse 9 black bluetooth,Mg-8,0.4,2.52,2.77,0.07,0
mouse 10 gun bluetooth,M2,0.3,2.79,3.07,0.07,0
/ Mouse 11 ( lightening / built in battery bluetooth ) Black,GFM-FL-001,0.36,4.0,4.4,0.11,0
/ Mouse 11 ( lightening / built in battery bluetooth ) Blue,Mg-600,0.38,5.04,5.54,0.13,0
/ Mouse 11 ( lightening / built in battery bluetooth ) Gun,Mg-600,0.38,7.0,7.7,0.19,0
/ Mouse 11 ( lightening / built in battery bluetooth ) White,El-311,0.37,8.0,8.8,0.21,0
"mouse 12 black "" LIGHTING "" LOGO",Sp-m-23-Light up,0.45,3.32,3.65,0.09,0
""" Mouse Pad 1 black "" WIRELESS",M2,0.33,6.64,7.3,0.18,0
Mouse Pad 3 black,Lc5-dual,0.33,4.91,5.4,0.13,0
NB 2 ( mobile stand ) Black,NB-25-32-A6,0.81,304.0,334.4,8.07,0
NB 2 ( mobile stand ) Blue,NB-25-32-A6,0.82,214.5,235.95,5.69,0
NB 4 black,NB-60-4-B-Black,0.93,1.73,1.9,0.05,0
NB 6 black,NB-60-6-B,1.43,2.52,2.77,0.07,0
NB 6 blue,NB-60-4-B-Black,0.73,0.0,0.0,0.0,0
NB 6 grey,NB-60-8-B-G,0.71,2.0,2.2,0.05,0
NB 6 coffee,NB-60-8-B-G,0.73,0.0,0.0,0.0,0
NB 7 blue,Nb,0.48,3.85,4.24,0.1,0
NB 8 black,NB-60-8-B-B,0.93,5.18,5.7,0.14,0
NB 9 Brown large,Nb,0.59,2.52,2.77,0.07,0
NB 10 black Metal M,NB-,0.61,5.18,5.7,0.14,0
NB 10 blue Metal M,Nb,0.54,4.0,4.4,0.11,0
NB 10 L.Grey M,Nb,0.52,0.0,0.0,0.0,0
NB 11 black,NB-,0.5,7.04,7.74,0.19,0
NB 12 black grey,NB-,0.53,5.71,6.28,0.15,0
NB 13 black,NB-,0.5,4.12,4.53,0.11,0
NB 14 black silver,NB-,0.55,6.5,7.15,0.17,0
NB 15 black,NB-60-28-15-B-Black,0.93,5.97,6.57,0.16,0
NB 16 black,NB-,0.5,3.58,3.94,0.1,0
NB 16 blue,Nb,0.48,0.0,0.0,0.0,0
NB 24 black,NB-24-3,0.72,3.85,4.24,0.1,0
NB 25 black,NB-25-77-B-Black,1.43,3.85,4.24,0.1,0
NB 26 Black Medium,NB-,0.57,4.25,4.68,0.11,0
NB 26 Blue Medium,Nb,0.54,9.0,9.9,0.24,0
NB 30 D.grey Medium,Nb,0.56,5.18,5.7,0.14,0
NB 30 L.grey Medium,Nb,0.56,6.0,6.6,0.16,0
NB 30 black Medium,NB-,0.57,8.0,8.8,0.21,0
NB 30 blue Medium,Nb,0.54,8.0,8.8,0.21,0
nb 44 black مارج 80 هقرو 100 مي يرك قرو,NB-,0.51,248.0,272.8,6.58,0
nb 44 blue مارج 80 هقرو 100 مي يرك قرو,Nb,0.51,75.9,83.49,2.02,0
nb 44 white مارج 80 هقرو 100 مي يرك قرو,NB-,0.49,1.0,1.1,0.03,0
nb 44 Black سيطانغمب,NB-,0.5,1021.0,1123.1,27.11,0
nb 44 Blue سيطانغمب,Nb,0.48,115.5,127.05,3.07,0
بارجب NB 47 black,NB-17-106-Blank,0.75,3.05,3.35,0.08,0
NB 48 black,NB-,0.5,3.85,4.24,0.1,0
NB 50 Blue M New,Nb,0.52,13.0,14.3,0.35,0
NB 50 Black M New,NB-,0.57,4.38,4.82,0.12,0
NB 50 Grey M New,Nb,0.54,1.0,1.1,0.03,0
NB set 1 black,NB-,0.52,16.46,18.11,0.44,0
NB set 2 black,NB-,0.52,16.46,18.11,0.44,0
NB set 4 black,NB-,0.52,4.38,4.82,0.12,0
NB set 4 green,Nb,0.55,0.0,0.0,0.0,0
NB set 4 red,Nb,0.53,5.0,5.5,0.13,0
NB set 4 purple,Nb,0.57,3.0,3.3,0.08,0
NB set 5 black,NB-,0.52,6.5,7.15,0.17,0
NB set 6 black,NB-,0.52,6.5,7.15,0.17,0
NB set 7 black,NB-,0.52,2.52,2.77,0.07,0
NB set 7 blue,Nb,0.5,0.0,0.0,0.0,0
NB Set 10 Black,NB-,0.52,12.35,13.59,0.33,0
NB Set 10 Blue,Nb,0.5,5.0,5.5,0.13,0
NB Set 10 dark grey,Nb,0.51,3.0,3.3,0.08,0
NB Set 10 Black With CH,NB-,0.56,14.87,16.36,0.39,0
NB Set 10 D.Blue With CH,Nb,0.56,14.0,15.4,0.37,0
NB Set 10 Grey With CH,Nb,0.55,0.0,0.0,0.0,0
NB Set 10 with TK 16 Black,Nb,0.54,19.12,21.03,0.51,0
NB Set 10 with TK 16 Blue,Nb,0.52,0.0,0.0,0.0,0
NB set 11 black,NB-,0.52,7.83,8.61,0.21,0
NB set 11 blue,Nb,0.5,6.0,6.6,0.16,0
NB Set 12 black,NB-,0.52,10.35,11.38,0.27,0
NB Set 12 Grey,Nb,0.5,0.0,0.0,0.0,0
NB set 13 black,NB-,0.52,8.63,9.49,0.23,0
NB set 13 blue,Nb,0.5,5.0,5.5,0.13,0
NB set 14 black,NB-,0.52,7.83,8.61,0.21,0
NB set 14 blue,Nb,0.5,0.0,0.0,0.0,0
NB set 14 white,NB-,0.45,5.0,5.5,0.13,0
NB set 14 black design,NB-,0.56,6.64,7.3,0.18,0
NB set 14 blue design,Nb,0.57,6.64,7.3,0.18,0
NB set 14 white design,NB-,0.52,6.64,7.3,0.18,0
NB set 16 green,Nb,0.54,3.85,4.24,0.1,0
NB set 16 pink,Nb,0.55,3.0,3.3,0.08,0
NB set 16 purple,Nb,0.57,3.0,3.3,0.08,0
NB set 16 white,NB-,0.45,3.0,3.3,0.08,0
NB set 17 green,Nb,0.54,3.85,4.24,0.1,0
NB set 17 pink,Nb,0.55,3.0,3.3,0.08,0
NB set 17 purple,Nb,0.57,3.0,3.3,0.08,0
NB set 17 white,NB-,0.45,2.0,2.2,0.05,0
NB set 18 black with rope bag,NB-,0.6,9.29,10.22,0.25,0
NB set 19 black with rope bag,NB-,0.6,9.29,10.22,0.25,0
NB set 20 black with rope bag,NB-,0.6,10.49,11.54,0.28,0
NB set 21 black,NB-,0.52,12.61,13.87,0.33,0
NB set 21 blue,Nb,0.5,12.61,13.87,0.33,0
NB SET 25 BLACK,NB-,0.52,5.18,5.7,0.14,0
NB SET 25 BLUE,Nb,0.5,7.0,7.7,0.19,0
NB SET 26 BLUE,Nb,0.5,17.92,19.71,0.48,0
NB SET 26 WHITE,NB-,0.45,5.0,5.5,0.13,0
NB SET 27 BLACK,NB-,0.52,20.97,23.07,0.56,0
FL 6 ( 5000 mAh / inner wallet / card holder / wireless 10W ) Black,Ch-1040-double,0.44,962.5,1058.75,25.55,0
FL 7 wireless charger grey,LC-120-I,0.41,1072.5,1179.75,28.47,0
FL 7 wireless charger black,LC-120-I,0.44,9.0,9.9,0.24,0
FL 7 wireless charger blue,LC-120-I,0.41,1.0,1.1,0.03,0
FL 8 ( 8000 mAh / wireless 10W / lightening logo / mega safe ) Black,P208,0.38,1375.0,1512.5,36.51,0
FL 9 ( 8000 mAh / mega safe / 3 in 1 wireless 10W - watch - airpod - phone ) Black,P225L-Wireless-Power,0.37,1375.0,1512.5,36.51,0
FL 10 ( 8000 mAh / mega safe / 3 in 1 wireless 10W - watch - airpod - phone ) Black,P222 L,0.4,1072.5,1179.75,28.47,0
FL 11 ( Box / 8000 mAh / wireless 10W / lightening logo / mega safe / 16GB flash ) Black,Box,0.5,1309.0,1439.9,34.75,0
FL 18 black,LC-120-I,0.37,44.0,48.4,1.17,0
FL 20 ( 5000 mAh wireless ) Black,LC-120-I Watch,0.48,1265.0,1391.5,33.59,0
FL 21 ( 4000 mAh wireless ) Black,LC-120-I Watch,0.45,1045.0,1149.5,27.74,0
FL 22 ( 5000 mAh wireless ) Black,LC-120-I Watch,0.45,1045.0,1149.5,27.74,0
FL 45 ( 5000 mAh / 16GB flash ) Black,P222 L,0.42,1210.0,1331.0,32.13,0
MP 2 Black,Sp-m-23-Light up,0.38,48.0,52.8,1.27,0
MP 2 Blue,Sp-m-23-Light up,0.48,148.5,163.35,3.94,0
MP 2 Craft,Sp-m-23-Light up,0.38,5.0,5.5,0.13,0
MP 4 Black,Sp-m-23-Light up,0.31,565.0,621.5,15.0,0
MP 4 Blue,Sp-m-23-Light up,0.4,93.5,102.85,2.48,0
MP 4 Crafft,MP04-The,0.3,3.0,3.3,0.08,0
MP 7 black,Sm-728,0.38,5.0,5.5,0.13,0
MP 7 D.Blue,Sp-m-23-Light up,0.44,3.32,3.65,0.09,0
MP 10 Blue,Sp-m-23-Light up,0.38,1.54,1.69,0.04,0
MP 11 Black,LC-120-I,0.33,575.0,632.5,15.27,0
MP 11 D.Blue,Sp-m-23-Light up,0.43,148.5,163.35,3.94,0
MP 13 Grey,Sp-m-23-Light up,0.38,4.0,4.4,0.11,0
MP 13 Red,Sp-m-23-Light up,0.32,53.9,59.29,1.43,0
MP 14 Blue,Sp-m-23-Light up,0.38,725.0,797.5,19.25,0
Mp 14 Black,LC-120-I,0.33,86.9,95.59,2.31,0
mp 15 black,LC-120-I,0.33,1.73,1.9,0.05,0
mp 15 blue,Sp-m-23-Light up,0.38,5.0,5.5,0.13,0
MP 16 Black,LC-120-I,0.33,1225.0,1347.5,32.52,0
MP 16 Blue,Sp-m-23-Light up,0.38,104.5,114.95,2.77,0
MP 17 Black,Sm-728,0.35,1086.0,1194.6,28.83,0
MP 17 Grey,Sm-728,0.38,86.9,95.59,2.31,0
MP 18 Black,Sm-728,0.35,5.18,5.7,0.14,0
MP 20 black,LC-120-I,0.37,5.18,5.7,0.14,0
